Nr Camere,Suprafata,Etaj,Total Etaje,Sector,Scor,Pret
4,108,2,3,4,5,83000
1,41,1,8,1,1,39900
3,63.52,1,3,2,3,84900
1,33,3,10,5,1,45500
2,62,5,9,5,5,54900
3,132,2,6,1,2,349990
2,49,6,6,6,4,36500
3,92,4,8,2,2,119000
3,68,3,5,4,5,67500
3,110,1,2,1,1,133000
3,74.7,5,5,3,4,122000
2,51,6,10,3,4,66800
2,50,8,9,1,1,79900
3,76,1,3,1,4,119900
2,62.2,1,5,3,2,87000
1,28,9,9,6,4,34000
2,55.35,5,5,3,4,93000
4,200,5,5,3,4,181500
4,99.55,1,4,3,2,145000
2,60.95,2,2,3,4,82500
3,84.02,3,5,1,1,184478
3,70,7,8,3,4,71000
2,46,7,10,6,4,53000
2,58,5,5,4,5,58900
2,71,2,6,5,5,49600
2,52,3,11,4,5,50500
2,60,3,3,6,4,55800
3,76,1,6,6,4,62900
1,35.06,10,12,1,2,60000
3,75,1,3,6,4,59500
2,63,3,8,3,4,78500
3,62,3,8,4,5,84900
2,50,2,3,3,4,57700
2,61,2,3,4,5,63000
2,53,8,10,6,4,57000
3,77,3,13,3,4,97900
4,128.65,2,3,1,1,265000
2,64,3,3,3,4,57500
2,56,3,11,4,5,59000
3,80,0,11,6,4,67900
2,51,2,3,3,4,56000
2,54,1,5,6,4,51300
1,37,1,5,2,3,36950
2,45.23,-1,5,6,4,36300
2,66,2,5,5,1,79080
2,61.46,2,5,1,2,78000
2,54,3,3,2,3,77000
3,78.52,3,5,1,4,88100
3,80,3,3,4,5,73000
3,66,3,6,2,3,90000
2,61,0,11,6,4,53900
3,71.59,4,7,1,1,94000
3,78.4,2,11,3,2,142000
1,31,2,7,6,4,25000
3,107,3,3,1,2,220000
2,48.6,3,11,4,5,59000
2,82.92,3,7,6,4,64000
2,62.3,1,7,1,2,107800
2,52,4,8,5,5,56500
5,100,1,1,1,2,140000
1,39.2,1,6,6,5,45000
3,72.71,1,7,1,1,125000
2,60,1,4,1,1,69900
2,39.49,7,8,6,4,36500
1,37,2,10,2,3,69000
2,47,4,11,6,4,64181
3,98,1,8,1,2,204069
4,98,1,9,5,5,88500
2,52,0,3,4,5,44500
1,36,8,8,3,2,46000
2,42,0,3,4,5,40000
2,50,3,5,1,2,75597
3,64.26,2,11,4,5,73000
1,40,3,4,2,3,73000
3,74,3,5,4,5,83000
2,41,3,3,6,4,35500
3,89.81,3,7,2,3,73715
4,247,10,11,1,1,213900
2,58.14,2,3,2,3,76500
3,80,4,5,2,3,122364
2,65.6,1,5,4,5,55100
2,50,6,10,3,4,72000
3,110,1,5,1,1,239000
3,66.59,1,10,3,4,92000
2,53,2,3,1,1,75000
1,44.06,1,5,3,2,55075
2,48,1,4,3,4,44555
2,57,0,3,2,2,75672
2,49,3,3,1,4,81000
2,55.6,0,3,3,2,108600
3,70,8,9,6,4,73000
2,61,7,8,4,5,80000
1,30,8,10,3,4,45000
3,68,0,2,1,4,125000
2,64,2,6,1,1,140000
3,69,0,2,1,2,125000
3,67,4,9,6,4,73000
3,65,1,4,6,4,71900
2,55,1,3,3,4,49500
3,71,1,10,2,1,137000
2,60,1,2,4,2,84500
3,87,3,6,1,2,220000
3,130.15,7,10,1,1,205000
3,72,2,10,6,4,94000
4,87.7,4,9,1,1,134900
2,63,11,11,1,1,105000
2,72,4,12,3,2,120500
3,61,5,10,2,3,75000
2,55,2,4,1,4,88000
3,78.32,1,3,1,1,96000
2,42,1,7,1,1,52190
4,100,8,8,3,4,130000
2,43,9,9,1,2,67000
1,40.05,1,11,1,4,59500
2,61,6,7,1,2,113580
3,78.14,1,4,1,4,88400
2,57.87,1,4,2,3,55100
3,116,1,2,4,5,125000
2,56.3,7,11,2,2,75000
3,68.3,2,5,2,3,68300
2,67,6,10,1,2,92000
2,48.9,5,12,4,5,65160
4,137.57,6,6,3,2,220122
3,70,2,10,2,3,82900
2,48,2,5,4,5,49500
2,51,3,4,1,4,87900
2,48,8,8,1,1,73000
2,48,3,6,5,1,84000
2,49,2,4,4,5,48500
2,65.12,3,5,3,2,82375
2,59,1,2,1,1,71500
3,143,0,3,4,5,79990
2,52,3,3,2,3,71012
5,177.51,5,5,3,4,330000
1,36,3,4,6,4,32850
3,86,5,6,1,2,98000
2,53,6,10,6,4,53100
2,58,1,6,1,2,75400
3,60,2,4,3,4,64900
2,40,0,2,3,4,35500
1,36,1,3,4,5,47000
2,48.8,1,6,4,5,47000
1,34.4,1,3,2,3,35300
5,126.4,4,5,1,1,256110
1,30,1,3,2,3,29900
3,65,3,11,1,1,85510
3,60,0,8,3,4,65000
1,34,2,3,4,5,37300
3,66,1,4,4,5,75900
2,41,1,4,3,4,43000
2,58,2,3,3,4,45000
2,48.35,5,5,6,4,38000
2,40,1,5,3,4,35000
2,46,2,2,3,4,51900
1,31,1,4,4,5,39500
